,lat,lon,temp,humidity,cloudiness,wind,temp_max
0,54.58,16.86,275.27,85,100,12.49,275.27
1,37.52,42.46,281.13,45,35,2.33,281.13
2,-33.28,-70.9,288.15,77,6,2.1,288.15
3,71.92,114.08,249.48,87,59,1.56,249.48
4,47.47,84.87,273.0,69,79,6.43,273.0
5,-36.23,149.13,295.15,40,90,6.2,295.15
6,63.87,34.32,269.52,89,2,4.4,269.52
7,6.12,81.12,306.15,55,20,1.5,306.15
8,-6.28,143.99,294.15,83,75,1.5,294.15
9,-15.89,-52.26,295.01,86,100,1.27,295.01
10,61.99,5.14,273.36,81,85,3.1,273.71
11,52.85,47.88,277.79,80,94,1.64,277.79
12,25.29,51.53,301.07,45,47,5.7,302.15
13,-15.2,12.15,295.26,75,80,3.3,295.26
14,-45.87,170.5,285.06,73,3,0.45,285.37
15,47.65,53.35,285.76,42,0,6.97,285.76
16,-26.79,-60.44,293.43,94,3,1.42,293.43
17,-34.42,19.23,287.59,97,62,2.12,287.59
18,8.08,22.4,297.83,51,81,1.53,297.83
19,-33.01,17.94,287.15,87,1,1.0,287.15
20,73.51,80.55,262.04,95,98,2.86,262.04
21,11.74,41.09,301.24,54,55,3.62,301.24
22,-8.14,159.59,302.39,74,86,3.75,302.39
23,-22.97,-42.03,297.88,76,22,4.78,297.88
24,-27.98,30.72,289.7,46,0,2.21,289.7
25,48.83,58.14,279.99,54,39,5.58,279.99
26,57.14,-2.1,274.98,69,90,5.1,276.48
27,14.08,98.2,305.48,39,0,3.4,305.48
28,-2.27,40.9,302.94,67,82,0.77,302.94
29,68.05,166.44,261.62,89,99,2.17,261.62
30,62.46,-114.35,244.13,75,5,2.6,245.15
31,15.74,-96.47,297.59,84,0,3.81,297.59
32,-33.92,25.57,292.15,68,54,9.3,292.15
33,2.93,11.98,294.48,80,27,0.41,294.48
34,-43.53,172.63,283.88,100,100,6.2,285.37
35,60.14,-45.24,276.47,88,100,13.71,276.47
36,-54.8,-68.3,278.15,80,20,1.57,278.15
37,65.61,-37.64,274.08,94,100,1.07,274.08
38,10.7,37.27,299.33,10,66,1.47,299.33
39,-51.62,-69.22,277.15,80,35,4.1,277.15
40,58.0,102.66,271.47,89,100,6.4,271.47
41,27.2,60.68,297.15,33,100,1.5,297.15
42,50.78,121.52,276.82,51,32,4.47,276.82
43,39.18,-84.53,290.82,100,40,1.5,291.48
44,48.04,24.35,279.83,56,0,0.11,279.83
45,-10.0,39.72,298.15,94,75,5.1,298.15
46,-2.57,150.8,302.42,68,41,2.6,302.42
47,47.7,131.1,283.14,42,0,6.44,283.14
48,-19.98,57.61,302.08,79,40,6.7,302.15
49,-33.65,115.33,294.94,31,85,4.32,297.04
50,-34.48,-54.33,292.08,93,76,2.75,292.08
51,52.93,78.58,271.66,96,76,5.14,271.66
52,-12.23,136.77,304.15,62,75,6.2,304.15
53,38.74,35.5,279.15,93,90,4.6,279.15
54,35.73,140.83,276.75,93,75,9.3,278.15
55,29.85,-90.11,297.03,94,40,2.6,298.15
56,69.7,170.31,264.33,91,97,11.93,264.33
57,42.16,-72.33,278.61,100,90,3.1,279.82
58,-38.65,-72.23,280.17,100,90,0.92,281.15
59,-24.8,-56.03,293.77,90,25,1.95,293.77
60,69.3,139.9,259.98,90,100,1.94,259.98
61,68.71,-52.87,271.6,98,100,6.01,271.6
62,32.93,12.08,288.72,76,3,8.13,288.72
63,40.16,-8.33,280.83,91,20,0.45,283.71
64,-38.65,178.0,289.82,82,43,1.34,289.82
65,55.74,-97.86,255.15,59,20,5.1,255.15
66,52.75,35.38,280.75,72,99,4.11,280.75
67,-29.12,26.21,288.15,87,0,2.1,288.15
68,29.11,58.36,291.37,36,94,4.97,291.37
69,-33.04,-71.63,287.53,82,1,2.1,288.15
70,78.22,15.64,257.15,65,75,5.7,257.15
71,34.37,107.36,285.31,51,97,3.16,285.31
72,35.13,140.3,277.82,81,75,5.7,279.15
73,28.92,78.47,303.74,17,0,8.08,303.74
74,31.45,12.98,288.35,39,2,1.58,288.35
75,-3.67,152.43,301.86,74,99,3.8,301.86
76,-20.33,-40.29,295.56,94,20,0.5,295.93
77,61.99,-49.67,277.3,84,100,19.43,277.3
78,-34.73,135.87,293.11,65,55,6.89,293.11
79,65.99,57.53,271.14,93,96,10.48,271.14
80,-10.98,-66.1,295.34,93,73,0.2,295.34
81,41.12,-100.77,275.96,74,1,4.6,276.48
82,-26.65,15.16,289.15,63,0,2.6,289.15
83,-20.15,28.58,290.89,50,77,3.23,290.89
84,-23.53,148.17,304.51,40,34,4.1,305.15
85,43.8,87.6,275.15,93,75,5.0,275.15
86,46.42,3.91,280.15,85,67,3.6,280.15
87,11.67,92.75,300.53,66,34,2.14,300.53
88,66.15,-65.71,258.99,82,100,0.98,258.99
89,-5.2,-35.46,298.15,94,20,2.1,298.15
90,-17.71,-39.25,298.11,87,20,4.79,298.11
91,22.53,-80.91,295.15,83,0,2.1,295.15
92,13.49,106.98,312.19,19,17,2.45,312.19
93,41.24,-81.84,287.45,93,90,3.6,291.15
94,52.52,111.54,274.77,44,22,9.09,274.77
95,8.57,0.98,297.86,70,75,0.51,297.86
96,-41.87,-73.82,279.15,100,0,1.0,279.15
97,4.78,7.01,299.67,85,86,1.26,299.67
98,-8.1,156.84,302.62,73,99,2.69,302.62
99,42.8,93.45,286.63,22,100,1.51,286.63
100,-34.53,20.04,287.36,93,36,0.95,287.59
101,38.3,-5.27,279.94,93,54,1.0,280.15
102,77.48,-69.36,260.03,82,100,2.07,260.03
103,35.08,117.15,283.86,53,100,3.01,283.86
104,5.56,95.32,304.38,65,71,3.82,304.38
105,33.36,129.55,289.21,48,83,6.7,290.15
106,-45.58,-72.07,280.15,87,6,2.6,280.15
107,-22.28,166.46,299.19,65,75,6.2,299.82
108,-9.58,33.85,295.04,74,100,2.27,295.04
109,-20.52,57.52,302.1,79,40,6.7,302.15
110,-9.83,-45.34,294.13,80,3,2.15,294.13
111,-0.95,100.35,303.59,65,18,1.39,303.59
112,-23.13,150.73,302.15,54,40,5.1,302.15
113,64.5,-165.41,256.92,76,0,4.02,256.92
114,20.93,-17.03,290.15,77,81,8.7,290.15
115,41.28,-70.1,279.34,93,90,7.7,280.15
116,-38.0,-57.56,293.52,100,90,2.1,293.71
117,-20.74,116.85,309.6,29,1,4.93,309.6
118,-7.05,113.93,303.41,66,19,1.5,303.41
119,32.25,54.02,289.15,59,75,5.1,289.15
120,19.73,-155.09,291.53,83,90,3.1,295.15
121,-24.79,-50.01,289.63,73,67,1.58,289.63
122,-53.15,-70.92,278.63,81,87,4.1,279.15
123,59.38,143.3,269.74,93,100,4.75,269.74
124,41.76,86.15,290.37,90,63,2.68,290.37
125,7.1,39.2,290.86,31,19,1.5,290.86
126,14.17,121.18,306.14,49,20,5.1,307.15
127,-14.74,-50.57,296.02,81,98,1.91,296.02
128,4.87,-2.24,299.46,89,73,2.17,299.46
129,4.88,-1.76,299.31,89,70,2.16,299.31
130,22.89,-109.91,289.38,57,0,0.89,291.48
131,-2.02,147.27,302.02,74,71,2.98,302.02
132,40.6,-124.16,282.82,87,90,5.1,284.15
133,-41.41,175.52,286.6,93,93,5.7,287.59
134,59.7,30.79,274.36,37,20,5.0,275.93
135,-14.9,50.28,300.38,75,80,2.14,300.38
136,-28.55,16.43,288.07,78,3,3.69,288.07
137,-4.97,39.83,301.37,76,87,2.48,301.37
138,56.67,96.06,271.8,89,100,6.68,271.8
139,-2.53,112.95,307.16,51,67,1.43,307.16
140,-37.83,140.77,296.15,46,40,8.7,296.15
141,31.81,121.66,284.12,41,100,4.98,287.59
142,65.58,-171.0,253.77,83,0,1.01,253.77
143,70.63,147.92,258.66,94,100,3.9,258.66
144,-19.06,-169.92,299.15,88,22,2.6,299.15
145,-25.17,45.05,297.36,73,52,3.4,297.36
146,56.07,98.48,272.97,82,100,6.52,272.97
147,4.41,114.01,301.04,83,75,1.5,301.15
148,68.12,13.5,271.22,89,100,8.16,271.22
149,5.35,48.53,302.9,68,80,5.61,302.9
150,-27.83,25.91,292.12,43,4,4.59,292.12
151,39.05,-27.98,287.11,77,92,12.08,287.11
152,44.37,-100.35,275.15,74,1,3.6,275.15
153,4.38,-7.72,298.98,85,63,0.67,298.98
154,-13.54,23.1,292.61,68,90,2.73,292.61
155,57.31,88.17,273.12,91,100,4.74,273.12
156,-8.9,-35.15,299.88,81,6,2.21,299.88
157,-46.6,168.33,287.04,72,0,3.58,287.04
158,27.72,85.32,299.15,29,20,1.5,299.15
159,38.47,106.27,288.08,18,0,2.09,288.08
160,-0.48,15.9,296.8,80,0,0.83,296.8
161,56.34,114.88,272.66,67,94,5.95,272.66
162,53.62,109.62,272.75,74,85,6.03,272.75
163,-16.52,-151.75,302.29,66,93,4.21,302.29
164,-4.58,-81.27,296.58,78,11,2.79,296.58
165,14.9,-24.5,294.13,77,99,4.71,294.13
166,-10.21,-48.36,299.15,78,20,1.0,299.15
167,53.39,-2.58,275.31,74,20,2.6,276.48
168,48.93,-125.55,279.87,93,100,0.45,280.93
169,-33.7,-53.46,294.41,91,92,3.85,294.41
170,42.25,-75.83,278.63,100,90,3.1,279.82
171,35.41,-99.4,279.82,70,1,3.6,280.37
172,66.04,-17.34,279.15,60,20,25.2,279.15
173,21.93,-79.44,293.8,89,2,2.93,293.8
174,-30.18,-50.21,296.0,84,97,5.6,296.0
175,-42.88,147.33,290.18,83,100,0.45,291.48
176,11.52,13.69,300.11,20,41,1.01,300.11
177,42.6,-73.97,277.94,87,90,1.5,279.26
178,-0.74,-90.35,298.15,80,74,0.45,298.15
179,-12.97,40.52,298.15,88,75,4.1,298.15
180,69.22,-51.1,269.15,85,100,1.5,269.15
181,-3.89,-59.09,297.18,93,73,0.78,297.18
182,-5.67,132.75,302.08,69,52,2.82,302.08
183,20.2,1.01,295.33,30,66,2.29,295.33
184,56.6,61.1,281.15,76,66,7.0,281.15
185,46.49,135.88,275.07,59,0,5.77,275.07
186,47.67,-52.73,272.89,98,90,5.7,273.71
187,61.69,33.62,271.15,50,100,3.0,271.15
188,-45.13,170.1,282.63,80,9,1.34,284.26
189,51.23,-58.65,265.32,93,38,4.03,265.32
190,20.75,-105.33,296.15,88,90,1.5,296.15
191,18.93,84.6,308.36,37,1,1.85,308.36
192,-42.78,147.06,289.87,79,100,1.25,291.48
193,21.53,84.73,310.11,19,0,4.0,310.11
194,38.24,16.26,284.8,87,20,3.1,287.04
195,-23.86,35.38,298.15,69,20,2.97,298.15
